,reward,velocity,power_normalized,target_v,total_power_sec,env,seed,id,v_e_ratio,power,distance_delta,rew_b_1.0_v_rate_0.8,rew_b_1.0_v_rate_0.6,rew_b_1.0_v_rate_0.5,rew_b_1.0_v_rate_0.2
0,0.5132071645902659,0.008882696309023197,0.02664513355646917,0.025,18.651593489528423,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.3333703053204088,1865.1593489528423,0.3553078523609279,0.47891725517744843,0.6025266579939691,0.6643313594022293,0.8497454636270103
1,0.4628807418259373,0.0062850958866612515,0.018066795537585188,0.03000000000000001,12.646756876309633,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.34788105469982633,1264.6756876309632,0.25140383546645007,0.3639891978701163,0.518475199518191,0.5957182003422283,0.8274472028143403
2,0.4271027545831158,0.005650127939021532,0.01650129264967921,0.03500000000000001,11.550904854775444,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.34240517145978694,1155.0904854775445,0.22600511756086128,0.3258455229334134,0.49025881903764024,0.5724654670897537,0.819085411246094
3,0.3769940092282761,0.00450362132377694,0.026367276306366937,0.040000000000000015,18.457093414456857,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.17080343344714166,1845.7093414456856,0.18014485295107763,0.28479897121426534,0.45700740933410733,0.5431116283940283,0.8014242855737912
4,0.35125511308592167,0.008863528055452274,0.020250585965524426,0.045,14.1754101758671,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.4376924238410667,1417.54101758671,0.354541122218091,0.3535237149038245,0.5100801396864874,0.5883583520778186,0.8231929892518128
5,0.311284902891694,0.008391973422717946,0.022568966015163207,0.05,15.798276210614244,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.3718368585020557,1579.8276210614245,0.33567893690871786,0.32975778156045443,0.4916760946665501,0.5726352512195978,0.8155127208787413
7,0.26308447262818485,0.009996922660090168,0.020258588726730902,0.06000000000000002,14.181012108711629,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.49346589710365063,1418.101210871163,0.39987690640360674,0.32924058438918935,0.49186579111020934,0.5731783944707193,0.8171162045522492
6,0.2604554358597092,0.0035801537667223605,0.02702006491944785,0.05500000000000002,18.914045443613496,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.13249982105503838,1891.4045443613495,0.14320615066889442,0.2466709508957084,0.4282481969419194,0.5190368199650248,0.7914026890343413
8,0.21713224366189984,0.006481402206912457,0.030225045324319032,0.06499999999999999,21.15753172702332,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.21443813027792316,2115.753172702332,0.25925608827649826,0.2737260950202126,0.4477383099340797,0.5347444173910132,0.795762739761814
9,0.19267523116132879,0.007480862688424206,0.027565283419121345,0.07000000000000002,19.295698393384942,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.27138711308278873,1929.5698393384941,0.29923450753696823,0.27998251689816667,0.45309556681884466,0.5396520917791836,0.7993216666602008
